,carat,cut,color,clarity,depth,table,price,x,y
88,0.24,Premium,H,VVS1,60.8,59,554,4.02,4
89,0.24,Premium,H,VVS2,60.7,58,554,4.07,4.04
90,0.32,Premium,I,SI1,62.9,58,554,4.35,4.33
91,0.7,Ideal,E,SI1,62.5,57,2757,5.7,5.72
92,0.86,Fair,E,SI2,55.1,69,2757,6.45,6.33
93,0.7,Ideal,G,VS2,61.6,56,2757,5.7,5.67
94,0.71,Very Good,E,VS2,62.4,57,2759,5.68,5.73
95,0.78,Very Good,G,SI2,63.8,56,2759,5.81,5.85
96,0.7,Good,E,VS2,57.5,58,2759,5.85,5.9
97,0.7,Good,F,VS1,59.4,62,2759,5.71,5.76
98,0.96,Fair,F,SI2,66.3,62,2759,6.27,5.95
99,0.73,Very Good,E,SI1,61.6,59,2760,5.77,5.78
100,0.8,Premium,H,SI1,61.5,58,2760,5.97,5.93
101,0.75,Very Good,D,SI1,63.2,56,2760,5.8,5.75
102,0.75,Premium,E,SI1,59.9,54,2760,6,5.96
103,0.74,Ideal,G,SI1,61.6,55,2760,5.8,5.85
104,0.75,Premium,G,VS2,61.7,58,2760,5.85,5.79
105,0.8,Ideal,I,VS1,62.9,56,2760,5.94,5.87
106,0.75,Ideal,G,SI1,62.2,55,2760,5.87,5.8
107,0.8,Premium,G,SI1,63,59,2760,5.9,5.81
108,0.74,Ideal,I,VVS2,62.3,55,2761,5.77,5.81
109,0.81,Ideal,F,SI2,58.8,57,2761,6.14,6.11
110,0.59,Ideal,E,VVS2,62,55,2761,5.38,5.43
111,0.8,Ideal,F,SI2,61.4,57,2761,5.96,6
112,0.74,Ideal,E,SI2,62.2,56,2761,5.8,5.84
113,0.9,Premium,I,VS2,63,58,2761,6.16,6.12
114,0.74,Very Good,G,SI1,62.2,59,2762,5.73,5.82
115,0.73,Ideal,F,VS2,62.6,56,2762,5.77,5.74
116,0.73,Ideal,F,VS2,62.7,53,2762,5.8,5.75
117,0.8,Premium,F,SI2,61.7,58,2762,5.98,5.94
118,0.71,Ideal,G,VS2,62.4,54,2762,5.72,5.76
119,0.7,Ideal,E,VS2,60.7,58,2762,5.73,5.76
120,0.8,Ideal,F,SI2,59.9,59,2762,6.01,6.07
121,0.71,Ideal,D,SI2,62.3,56,2762,5.73,5.69
122,0.74,Ideal,E,SI1,62.3,54,2762,5.8,5.83
123,0.7,Very Good,F,VS2,61.7,63,2762,5.64,5.61
124,0.7,Fair,F,VS2,64.5,57,2762,5.57,5.53
125,0.7,Fair,F,VS2,65.3,55,2762,5.63,5.58
126,0.7,Premium,F,VS2,61.6,60,2762,5.65,5.59
127,0.91,Premium,H,SI1,61.4,56,2763,6.09,5.97
128,0.61,Very Good,D,VVS2,59.6,57,2763,5.56,5.58
129,0.91,Fair,H,SI2,64.4,57,2763,6.11,6.09
130,0.91,Fair,H,SI2,65.7,60,2763,6.03,5.99
131,0.77,Ideal,H,VS2,62,56,2763,5.89,5.86
132,0.71,Very Good,D,SI1,63.6,58,2764,5.64,5.68
133,0.71,Ideal,D,SI1,61.9,59,2764,5.69,5.72
134,0.7,Very Good,E,VS2,62.6,60,2765,5.62,5.65
135,0.77,Very Good,H,VS1,61.3,60,2765,5.88,5.9
136,0.63,Premium,E,VVS1,60.9,60,2765,5.52,5.55
137,0.71,Very Good,F,VS1,60.1,62,2765,5.74,5.77
138,0.71,Premium,F,VS1,61.8,59,2765,5.69,5.73
139,0.76,Ideal,H,SI1,61.2,57,2765,5.88,5.91
140,0.64,Ideal,G,VVS1,61.9,56,2766,5.53,5.56
141,0.71,Premium,G,VS2,60.9,57,2766,5.78,5.75
142,0.71,Premium,G,VS2,59.8,56,2766,5.89,5.81
143,0.7,Very Good,D,VS2,61.8,55,2767,5.68,5.72
144,0.7,Very Good,F,VS1,60,57,2767,5.8,5.87
145,0.71,Ideal,D,SI2,61.6,55,2767,5.74,5.76
146,0.7,Good,H,VVS2,62.1,64,2767,5.62,5.65
147,0.71,Very Good,G,VS1,63.3,59,2768,5.52,5.61
148,0.73,Very Good,D,SI1,60.2,56,2768,5.83,5.87
149,0.7,Very Good,D,SI1,61.1,58,2768,5.66,5.73
150,0.7,Ideal,E,SI1,60.9,57,2768,5.73,5.76
151,0.71,Premium,D,SI2,61.7,59,2768,5.71,5.67
152,0.74,Ideal,I,SI1,61.3,56,2769,5.82,5.86
153,0.71,Premium,D,VS2,62.5,60,2770,5.65,5.61
154,0.73,Premium,G,VS2,61.4,59,2770,5.83,5.76
155,0.76,Very Good,F,SI1,62.9,57,2770,5.79,5.81
156,0.76,Ideal,D,SI2,62.4,57,2770,5.78,5.83
157,0.71,Ideal,F,SI1,60.7,56,2770,5.77,5.8
158,0.73,Premium,G,VS2,60.7,58,2770,5.87,5.82
159,0.73,Premium,G,VS1,61.5,58,2770,5.79,5.75
160,0.73,Ideal,D,SI2,59.9,57,2770,5.92,5.89
161,0.73,Premium,G,VS2,59.2,59,2770,5.92,5.87
162,0.72,Very Good,H,VVS2,60.3,56,2771,5.81,5.83
163,0.73,Very Good,F,SI1,61.7,60,2771,5.79,5.82
164,0.71,Ideal,G,VS2,61.9,57,2771,5.73,5.77
165,0.79,Ideal,F,SI2,61.9,55,2771,5.97,5.92
166,0.73,Very Good,H,VVS1,60.4,59,2772,5.83,5.89
167,0.8,Very Good,F,SI2,61,57,2772,6.01,6.03
168,0.58,Ideal,G,VVS1,61.5,55,2772,5.39,5.44
169,0.58,Ideal,F,VVS1,61.7,56,2772,5.33,5.37
170,0.71,Good,E,VS2,59.2,61,2772,5.8,5.88
171,0.75,Ideal,D,SI2,61.3,56,2773,5.85,5.89
172,0.7,Premium,D,VS2,58,62,2773,5.87,5.78
173,1.17,Very Good,J,I1,60.2,61,2774,6.83,6.9
174,0.6,Ideal,E,VS1,61.7,55,2774,5.41,5.44
175,0.7,Ideal,E,SI1,62.7,55,2774,5.68,5.74
176,0.83,Good,I,VS2,64.6,54,2774,5.85,5.88
177,0.74,Very Good,F,VS2,61.3,61,2775,5.8,5.84
178,0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69
179,0.71,Premium,E,VS2,62.7,58,2776,5.74,5.68
180,0.71,Ideal,E,VS2,62.2,57,2776,5.79,5.62
181,0.54,Ideal,E,VVS2,61.6,56,2776,5.25,5.27
182,0.54,Ideal,E,VVS2,61.5,57,2776,5.24,5.26
183,0.72,Ideal,G,SI1,61.8,56,2776,5.72,5.75
184,0.72,Ideal,G,SI1,60.7,56,2776,5.79,5.82
185,0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84
186,0.71,Ideal,G,SI1,60.5,56,2776,5.8,5.76
187,0.7,Very Good,D,VS1,62.7,58,2777,5.66,5.73
188,0.71,Premium,F,VS2,62.1,58,2777,5.67,5.7
189,0.71,Very Good,F,VS2,62.8,57,2777,5.64,5.69
190,0.71,Good,F,VS2,63.8,58,2777,5.61,5.64
191,0.71,Good,F,VS2,57.8,60,2777,5.87,5.9
192,0.7,Ideal,E,VS2,62.1,55,2777,5.7,5.67
193,0.7,Premium,E,VS2,61.1,60,2777,5.71,5.64
194,0.7,Premium,E,SI1,60,59,2777,5.79,5.75
195,0.7,Premium,E,SI1,61.2,57,2777,5.73,5.68
196,0.7,Premium,E,SI1,62.7,59,2777,5.67,5.63
197,0.7,Premium,E,SI1,61,57,2777,5.73,5.68
198,0.7,Premium,E,SI1,61,58,2777,5.78,5.72
199,0.7,Ideal,E,SI1,61.4,57,2777,5.76,5.7
200,0.72,Premium,F,SI1,61.8,61,2777,5.82,5.71
201,0.7,Very Good,E,SI1,59.9,63,2777,5.76,5.7
202,0.7,Premium,E,SI1,61.3,58,2777,5.71,5.68
203,0.7,Premium,E,SI1,60.5,58,2777,5.77,5.74
204,0.7,Good,E,VS2,64.1,59,2777,5.64,5.59
205,0.98,Fair,H,SI2,67.9,60,2777,6.05,5.97
206,0.78,Premium,F,SI1,62.4,58,2777,5.83,5.8
207,0.7,Very Good,E,SI1,63.2,60,2777,5.6,5.51
208,0.52,Ideal,F,VVS1,61.3,55,2778,5.19,5.22
209,0.73,Very Good,H,VS2,60.8,56,2779,5.82,5.84
210,0.74,Ideal,E,SI1,61.7,56,2779,5.84,5.8
211,0.7,Very Good,F,VS2,63.6,57,2780,5.61,5.65
212,0.77,Premium,G,VS2,61.2,58,2780,5.9,5.93
213,0.71,Ideal,F,VS2,62.1,54,2780,5.68,5.72
214,0.74,Ideal,G,VS1,61.5,55,2780,5.81,5.86
215,0.7,Ideal,G,VS1,61.4,59,2780,5.64,5.73
216,1.01,Premium,F,I1,61.8,60,2781,6.39,6.36
217,0.77,Ideal,H,SI1,62.2,56,2781,5.83,5.88
218,0.78,Ideal,H,SI1,61.2,56,2781,5.92,5.99
219,0.72,Very Good,H,VS1,60.6,63,2782,5.83,5.76
220,0.53,Very Good,D,VVS2,57.5,64,2782,5.34,5.37
221,0.76,Ideal,G,VS2,61.3,56,2782,5.9,5.94
222,0.7,Good,E,VS1,57.2,62,2782,5.81,5.77
223,0.7,Premium,E,VS1,62.9,60,2782,5.62,5.54
224,0.75,Very Good,D,SI2,63.1,58,2782,5.78,5.73
225,0.72,Ideal,D,SI1,60.8,57,2782,5.76,5.75
226,0.72,Premium,D,SI1,62.7,59,2782,5.73,5.69
227,0.7,Premium,D,SI1,62.8,60,2782,5.68,5.66
228,0.84,Fair,G,SI1,55.1,67,2782,6.39,6.2
229,0.75,Premium,F,SI1,61.4,59,2782,5.88,5.85
230,0.52,Ideal,F,IF,62.2,55,2783,5.14,5.18
231,0.72,Very Good,F,VS2,63,54,2784,5.69,5.73
232,0.79,Very Good,H,VS1,63.7,56,2784,5.85,5.92
233,0.72,Very Good,F,VS2,63.6,58,2787,5.66,5.69
234,0.51,Ideal,F,VVS1,62,57,2787,5.11,5.15
235,0.64,Ideal,D,VS1,61.5,56,2787,5.54,5.55
236,0.7,Very Good,H,VVS1,60.5,60,2788,5.74,5.77
237,0.83,Very Good,I,VS1,61.1,60,2788,6.07,6.1
238,0.76,Ideal,I,VVS2,61.8,56,2788,5.85,5.87
239,0.71,Good,D,VS2,63.3,56,2788,5.64,5.68
240,0.77,Good,G,VS1,59.4,64,2788,5.97,5.92
241,0.71,Ideal,F,SI1,62.5,55,2788,5.71,5.65
242,1.01,Fair,E,I1,64.5,58,2788,6.29,6.21
243,1.01,Premium,H,SI2,62.7,59,2788,6.31,6.22
244,0.77,Good,F,SI1,64.2,52,2789,5.81,5.77
245,0.76,Good,E,SI1,63.7,54,2789,5.76,5.85
246,0.76,Premium,E,SI1,60.4,58,2789,5.92,5.94
247,0.76,Premium,E,SI1,61.8,58,2789,5.82,5.86
248,1.05,Very Good,J,SI2,63.2,56,2789,6.49,6.45
249,0.81,Ideal,G,SI2,61.6,56,2789,5.97,6.01
250,0.7,Ideal,E,SI1,61.6,56,2789,5.72,5.75
251,0.55,Ideal,G,IF,60.9,57,2789,5.28,5.3
252,0.81,Good,G,SI2,61,61,2789,5.94,5.99
253,0.63,Premium,E,VVS2,62.1,57,2789,5.48,5.41
254,0.63,Premium,E,VVS1,60.9,60,2789,5.55,5.52
255,0.77,Premium,H,VS1,61.3,60,2789,5.9,5.88
256,1.05,Fair,J,SI2,65.8,59,2789,6.41,6.27
257,0.64,Ideal,G,IF,61.3,56,2790,5.54,5.58
258,0.76,Premium,I,VVS1,58.8,59,2790,6,5.94
259,0.83,Ideal,F,SI2,62.3,55,2790,6.02,6.05
260,0.71,Premium,F,VS1,60.1,62,2790,5.77,5.74
261,0.71,Premium,F,VS1,61.8,59,2790,5.73,5.69
262,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1
263,0.73,Ideal,E,SI1,62.2,56,2791,5.74,5.78
264,0.71,Premium,E,SI1,59.2,59,2792,5.83,5.86
265,0.71,Premium,E,SI1,61.8,59,2792,5.7,5.75
266,0.71,Ideal,E,SI1,61.3,55,2792,5.72,5.77
267,0.7,Premium,F,VS1,62.1,60,2792,5.71,5.65
268,0.7,Premium,F,VS1,60.7,60,2792,5.78,5.75
269,0.76,Premium,H,VVS2,59.6,57,2792,5.91,5.86
270,0.7,Ideal,F,VS1,62.2,56,2792,5.73,5.68
271,0.79,Very Good,G,SI1,60.6,57,2793,5.98,6.06
272,0.7,Very Good,E,VS2,62.9,57,2793,5.66,5.69
273,0.7,Good,E,VS2,64.1,55,2793,5.6,5.66
274,0.76,Ideal,I,VS2,61.3,56,2793,5.87,5.91
275,0.73,Ideal,H,VS2,62.7,55,2793,5.72,5.76
276,0.79,Very Good,E,SI1,63.2,56,2794,5.91,5.86
277,0.71,Very Good,E,VS2,60.7,56,2795,5.81,5.82
278,0.81,Premium,I,VVS2,61.9,60,2795,5.91,5.86
279,0.81,Ideal,F,SI2,62.6,55,2795,5.92,5.96
280,0.72,Good,F,VS1,60.7,60,2795,5.74,5.72
281,0.72,Premium,D,SI2,62,60,2795,5.73,5.69
282,0.72,Premium,I,IF,63,57,2795,5.72,5.7
283,0.81,Premium,H,VS2,58,59,2795,6.17,6.13
284,0.72,Premium,G,VS2,62.9,57,2795,5.73,5.65
285,1,Premium,I,SI2,58.2,60,2795,6.61,6.55
286,0.73,Good,E,SI1,63.2,58,2796,5.7,5.76
287,0.81,Very Good,H,SI2,61.3,59,2797,5.94,6.01
288,0.81,Very Good,E,SI1,60.3,60,2797,6.07,6.1
289,0.71,Premium,D,SI1,62.7,60,2797,5.67,5.71
290,0.71,Premium,D,SI1,61.3,58,2797,5.73,5.75
291,0.71,Premium,D,SI1,61.6,60,2797,5.74,5.69
292,0.57,Ideal,F,VVS2,61.9,55,2797,5.34,5.35
293,0.51,Ideal,D,VVS1,61.7,56,2797,5.12,5.16
294,0.72,Ideal,G,VS2,61.9,58,2797,5.72,5.75
295,0.74,Ideal,H,VS1,61.8,58,2797,5.77,5.81
296,0.74,Ideal,H,VS1,61.6,56,2797,5.81,5.82
297,0.7,Fair,G,VVS1,58.8,66,2797,5.81,5.9
298,0.8,Premium,F,SI2,61,57,2797,6.03,6.01
299,1.01,Fair,E,SI2,67.4,60,2797,6.19,6.05
300,0.8,Very Good,H,VS2,63.4,60,2797,5.92,5.82
301,0.77,Ideal,I,VS1,61.5,59,2798,5.87,5.91
302,0.83,Very Good,E,SI2,58,62,2799,6.19,6.25
303,0.82,Ideal,F,SI2,62.4,54,2799,5.97,6.02
304,0.78,Ideal,D,SI1,61.9,57,2799,5.91,5.86
305,0.6,Very Good,G,IF,61.6,56,2800,5.43,5.46
306,0.9,Good,I,SI2,62.2,59,2800,6.07,6.11
307,0.7,Premium,E,VS1,62.2,58,2800,5.6,5.66
308,0.9,Very Good,I,SI2,61.3,56,2800,6.17,6.23
309,0.83,Ideal,G,SI1,62.3,57,2800,5.99,6.08
310,0.83,Ideal,G,SI1,61.8,57,2800,6.03,6.07
311,0.83,Very Good,H,SI1,62.5,59,2800,5.95,6.02
312,0.74,Premium,G,VS1,62.9,60,2800,5.74,5.68
313,0.79,Ideal,I,VS1,61.8,59,2800,5.92,5.95
314,0.61,Ideal,G,IF,62.3,56,2800,5.43,5.45
315,0.76,Fair,G,VS1,59,70,2800,5.89,5.8
316,0.96,Ideal,F,I1,60.7,55,2801,6.37,6.41
317,0.73,Ideal,F,VS2,62.5,55,2801,5.8,5.76
318,0.73,Premium,F,VS2,62.7,58,2801,5.76,5.7
319,0.75,Ideal,H,SI1,60.4,57,2801,5.93,5.96
320,0.71,Premium,F,VS2,62.1,58,2801,5.7,5.67
321,0.71,Good,F,VS2,57.8,60,2801,5.9,5.87
322,0.71,Good,F,VS2,63.8,58,2801,5.64,5.61
323,0.71,Premium,F,VS2,62.8,57,2801,5.69,5.64
324,1.04,Premium,G,I1,62.2,58,2801,6.46,6.41
325,1,Premium,J,SI2,62.3,58,2801,6.45,6.34
326,0.87,Very Good,G,SI2,59.9,58,2802,6.19,6.23
327,0.53,Ideal,F,IF,61.9,54,2802,5.22,5.25
328,0.72,Premium,E,VS2,63,55,2802,5.79,5.61
329,0.72,Premium,F,VS1,62.4,58,2802,5.83,5.7
330,0.7,Very Good,F,VS2,62.9,58,2803,5.63,5.65
331,0.74,Very Good,E,SI1,63.5,56,2803,5.74,5.79
332,0.71,Ideal,G,VS2,61.3,56,2803,5.75,5.71
333,0.73,Ideal,E,SI1,60.6,54,2803,5.84,5.89
334,0.7,Good,G,VS1,65.1,58,2803,5.56,5.59
335,0.71,Premium,F,VS2,62.6,58,2803,5.7,5.67
336,0.71,Premium,F,VS2,58,62,2803,5.85,5.81
337,0.71,Premium,G,VS1,62.4,61,2803,5.7,5.65
338,0.77,Premium,G,VS2,61.3,57,2803,5.93,5.88
339,0.71,Premium,G,VS2,59.9,60,2803,5.81,5.77
340,0.78,Premium,G,VS2,60.8,58,2803,6.03,5.95
341,0.71,Very Good,G,VS1,63.5,55,2803,5.66,5.64
342,0.91,Ideal,D,SI2,62.2,57,2803,6.21,6.15
343,0.71,Very Good,E,VS2,63.8,58,2804,5.62,5.66
344,0.71,Very Good,E,VS2,64,57,2804,5.66,5.68
345,0.8,Very Good,E,SI2,62.5,56,2804,5.88,5.96
346,0.7,Very Good,D,SI1,62.3,58,2804,5.69,5.73
347,0.72,Ideal,F,VS1,61.7,57,2804,5.74,5.77
348,0.72,Very Good,F,VS1,62.2,58,2804,5.75,5.7
349,0.82,Ideal,H,VS2,61.5,56,2804,6.01,6.08
350,0.7,Ideal,D,SI1,61,59,2804,5.68,5.7
351,0.72,Ideal,D,SI1,62.2,56,2804,5.74,5.77
352,0.72,Ideal,D,SI1,61.5,54,2804,5.77,5.8
353,0.9,Fair,I,SI1,67.3,59,2804,5.93,5.84
354,0.74,Premium,F,VS2,61.7,58,2805,5.85,5.78
355,0.74,Premium,F,VS2,61.9,56,2805,5.8,5.77
356,0.73,Ideal,E,SI2,61.8,58,2805,5.77,5.81
357,0.57,Fair,E,VVS1,58.7,66,2805,5.34,5.43
358,0.73,Premium,F,VS2,62.5,57,2805,5.75,5.7
359,0.72,Ideal,G,VS2,62.8,56,2805,5.74,5.7
360,0.74,Fair,F,VS2,61.1,68,2805,5.82,5.75
361,0.82,Good,G,VS2,64,57,2805,5.92,5.89
362,0.81,Very Good,G,SI1,62.5,60,2806,5.89,5.94
363,0.75,Very Good,H,VVS1,60.6,58,2806,5.85,5.9
364,0.7,Ideal,F,SI1,61.6,55,2806,5.72,5.74
365,0.71,Very Good,F,VS1,62.2,58,2807,5.66,5.72
366,0.71,Very Good,F,VS1,60,57,2807,5.84,5.9
367,0.93,Premium,J,SI2,61.9,57,2807,6.21,6.19
368,0.8,Very Good,H,VS2,62.8,57,2808,5.87,5.91
369,0.7,Very Good,F,VS1,62,57,2808,5.64,5.71
370,1,Fair,G,I1,66.4,59,2808,6.16,6.09
371,0.75,Very Good,G,VS2,63.4,56,2808,5.78,5.74
372,0.58,Ideal,E,VVS2,60.9,56,2808,5.41,5.43
373,0.73,Very Good,D,SI1,63.1,57,2808,5.74,5.7
374,0.81,Very Good,F,SI1,63.1,59,2809,5.85,5.79
375,0.81,Premium,D,SI2,59.2,57,2809,6.15,6.05
376,0.71,Premium,F,SI1,60.7,54,2809,5.84,5.8
377,1.2,Fair,F,I1,64.6,56,2809,6.73,6.66
378,0.7,Very Good,F,VS1,61.8,56,2810,5.63,5.7
379,0.7,Very Good,F,VS1,59.9,60,2810,5.77,5.84
380,0.74,Ideal,D,SI2,61.7,55,2810,5.81,5.85
381,0.7,Good,F,VS1,62.8,61,2810,5.57,5.61
382,0.8,Good,G,SI1,62.7,57,2810,5.84,5.93
383,0.75,Very Good,F,SI1,63.4,58,2811,5.72,5.76
384,0.83,Very Good,D,SI1,63.5,54,2811,5.98,5.95
385,1,Fair,J,VS2,65.7,59,2811,6.14,6.07
386,0.99,Fair,I,SI2,68.1,56,2811,6.21,6.06
387,0.7,Very Good,G,VS1,63,60,2812,5.57,5.64
388,0.7,Very Good,F,VS2,59.5,58,2812,5.75,5.85
389,0.7,Good,E,SI1,63.5,59,2812,5.49,5.53
390,0.7,Very Good,F,VS2,61.7,58,2812,5.63,5.69
391,0.32,Premium,I,SI1,62.7,58,554,4.37,4.34
392,0.32,Premium,I,SI1,62.8,58,554,4.39,4.34
393,0.32,Ideal,I,SI1,62.4,57,554,4.37,4.35
394,0.32,Premium,I,SI1,61,59,554,4.39,4.36
395,0.32,Very Good,I,SI1,63.1,56,554,4.39,4.36
396,0.32,Ideal,I,SI1,60.7,57,554,4.47,4.42
397,0.3,Premium,H,SI1,60.9,59,554,4.31,4.29
398,0.3,Premium,H,SI1,60.1,55,554,4.41,4.38
399,0.3,Premium,H,SI1,62.9,58,554,4.28,4.24
400,0.3,Very Good,H,SI1,63.3,56,554,4.29,4.27
401,0.3,Good,H,SI1,63.8,55,554,4.26,4.2
402,0.3,Ideal,H,SI1,62.9,57,554,4.27,4.22
403,0.3,Very Good,H,SI1,63.4,60,554,4.25,4.23
404,0.32,Good,I,SI1,63.9,55,554,4.36,4.34
405,0.33,Ideal,H,SI2,61.4,56,554,4.85,4.79
406,0.29,Very Good,E,VS1,61.9,55,555,4.28,4.33
407,0.29,Very Good,E,VS1,62.4,55,555,4.2,4.25
408,0.31,Very Good,F,SI1,61.8,58,555,4.32,4.35
409,0.34,Ideal,H,VS2,61.5,56,555,4.47,4.5
410,0.34,Ideal,H,VS2,60.4,57,555,4.54,4.57
411,0.34,Ideal,I,VS1,61.8,55,555,4.48,4.52
412,0.34,Ideal,I,VS1,62,56,555,4.5,4.53
413,0.3,Ideal,G,VS1,62.3,56,555,4.29,4.31
414,0.29,Ideal,F,VS1,61.6,56,555,4.26,4.31
415,0.35,Ideal,G,SI1,60.6,56,555,4.56,4.58
416,0.43,Very Good,E,I1,58.4,62,555,4.94,5
417,0.32,Very Good,F,VS2,61.4,58,556,4.37,4.42
418,0.36,Ideal,I,VS2,61.9,56,556,4.54,4.57
419,0.3,Ideal,G,VS2,62,56,556,4.28,4.3
420,0.26,Ideal,E,VS1,61.5,57,556,4.09,4.12
421,0.7,Very Good,F,VS2,62.3,58,2812,5.64,5.72
422,0.7,Very Good,F,VS2,60.9,61,2812,5.66,5.71
